2001-10-31,2002-07-20,kraai,testsuite/tar/tar-handles-empty-include-and-non-empty-exclude-list
2001-10-31,2003-10-13,kraai,testsuite/tar/tar-handles-cz-options
2001-10-31,2004-01-12,andersen,testsuite/tar/tar-extracts-multiple-files
2001-10-31,2004-12-01,kraai,testsuite/wget/wget--O-overrides--P
2001-10-31,2004-12-01,kraai,testsuite/wget/wget-supports--P
2001-10-31,2005-10-14,vda.linux,testsuite/README
2001-10-31,2007-02-21,vda.linux,testsuite/runtest
2001-10-31,2007-06-25,vda.linux,networking/netstat.c
2001-11-01,2001-11-01,kraai,testsuite/rm/rm-removes-file
2001-11-02,2008-04-30,vda.linux,libbb/dump.c
2001-11-02,2010-12-08,vda.linux,util-linux/hexdump.c
2001-11-10,2005-05-15,andersen,include/inet_common.h
2001-11-10,2006-11-17,andersen,libbb/inet_common.c
2001-11-20,2005-04-10,kraai,testsuite/md5sum/md5sum-verifies-non-binary-file
2001-11-30,2008-01-25,andersen,miscutils/time.c
2001-12-07,2005-10-31,andersen,util-linux/cal.c
2001-12-08,2001-12-08,kraai,testsuite/touch/touch-touches-files-after-non-existent-file
2001-12-18,2001-12-28,kraai,testsuite/cp/cp-preserves-hard-links
2001-12-21,2001-12-21,kraai,testsuite/tar/tar-extracts-from-standard-input
2001-12-22,2001-12-22,kraai,testsuite/tar/tar-complains-about-missing-file
2002-01-03,2002-01-03,kraai,testsuite/false/false-returns-failure
2002-01-03,2002-01-03,kraai,testsuite/tar/tar-demands-at-least-one-ctx
2002-01-03,2002-01-03,kraai,testsuite/tar/tar-demands-at-most-one-ctx
2002-01-15,2005-01-17,kraai,testsuite/which/which-uses-default-path
2002-02-06,2002-02-06,kraai,testsuite/gzip/gzip-accepts-multiple-files
2002-02-06,2002-02-06,kraai,testsuite/gzip/gzip-removes-original-file
2002-02-18,2002-02-18,kraai,testsuite/tar/tar-archives-multiple-files
2002-03-28,2002-01-13,kraai,testsuite/gunzip/gunzip-reads-from-standard-input
2002-03-28,2002-03-28,kraai,testsuite/bunzip2/bunzip2-reads-from-standard-input
2002-03-28,2002-03-28,kraai,testsuite/bunzip2/bunzip2-removes-compressed-file
2002-04-16,2002-04-16,kraai,testsuite/bzcat/bzcat-does-not-remove-compressed-file
2002-05-20,2004-12-11,griebl,archival/libarchive/decompress_uncompress.c
2002-06-05,2006-06-16,griebl,libbb/setup_environment.c
2002-06-05,2009-01-16,vda.linux,loginutils/addgroup.c
2002-06-05,2009-06-26,vda.linux,loginutils/getty.c
2002-06-05,2009-12-11,vda.linux,loginutils/adduser.c
2002-06-05,2010-03-26,vda.linux,loginutils/login.c
2002-06-23,2007-09-30,andersen,libbb/change_identity.c
2002-06-23,2008-09-17,vda.linux,loginutils/vlock.c
2002-06-23,2009-01-02,andersen,libbb/run_shell.c
2002-08-22,2002-08-29,bug1,examples/udhcp/sample.script
2002-08-22,2007-03-21,bug1,examples/udhcp/sample.deconfig
2002-08-22,2007-09-09,bug1,examples/udhcp/sample.bound
2002-08-22,2008-01-14,bug1,examples/udhcp/sample.renew
