DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
2017-07-12	2016-12-15	Thierry Bugier	inc/wellknownpath.class.php
2017-10-03	2016-12-15	btry	install/install.class.php
2017-04-04	2016-12-15	btry	install/mysql/plugin_flyvemdm_empty.sql
2018-05-05	2018-04-29	Thierry Bugier	install/policies/deployment.php
2018-05-04	2018-04-29	Thierry Bugier	install/policies/encryption.php
2018-06-24	2018-04-29	Thierry Bugier	install/policies/mdm.php
2018-05-03	2018-04-29	Thierry Bugier	install/policies/password.php
2018-05-06	2018-04-29	Thierry Bugier	install/policies/peripherals.php
2018-05-05	2018-04-29	Thierry Bugier	install/policies/phone.php
2018-05-04	2018-04-29	Thierry Bugier	install/policies/usb.php
2018-05-04	2018-04-29	Thierry Bugier	install/policies/userInterface.php
2018-08-17	2018-08-13	Thierry Bugier	install/upgrade_to_2_0.php
2019-09-22	2019-09-03	Stanislas	install/upgrade_to_2_1.php
2018-09-22	2018-09-21	Thierry Bugier	install/upgrade_to_dev.php
2017-07-21	2017-03-03	Thierry Bugier Pineau	lib/GlpiLocalesExtension.php
2017-03-31	2017-03-31	Thierry Bugier Pineau	lib/leaflet-1.0.3/leaflet-src.js
2017-03-31	2017-03-31	Thierry Bugier Pineau	lib/leaflet-1.0.3/leaflet-src.map
2017-03-31	2017-03-31	Thierry Bugier Pineau	lib/leaflet-1.0.3/leaflet.css
2017-03-31	2017-03-31	Thierry Bugier Pineau	lib/leaflet-1.0.3/leaflet.js
2018-09-15	2018-09-04	Thierry Bugier	locales/ca_ES.po
2018-06-27	2018-04-30	Thierry Bugier	locales/cs_CZ.po
2018-08-07	2018-07-04	Domingo Oropeza	locales/es_AR.po
2018-07-05	2018-04-23	Domingo Oropeza	locales/es_ES.po
2018-06-30	2018-04-23	Domingo Oropeza	locales/es_MX.po
2017-12-30	2017-03-02	Thierry Bugier Pineau	locales/flyvemdm.pot
2018-03-22	2018-04-22	Domingo Oropeza	locales/fr_FR.po
2018-12-12	2018-12-12	Domingo Oropeza	locales/ko_KR.po
2018-04-10	2018-10-03	Domingo Oropeza	locales/pt_BR.po
2017-03-05	2017-03-03	Thierry Bugier Pineau	locales/ru.po
2017-07-27	2017-01-25	Alexander Salas Bastidas	package.json
2017-09-23	2016-12-21	btry	plugin.xml
2016-12-15	2016-12-15	btry	scripts/.htaccess
2018-09-12	2018-09-12	Thierry Bugier	scripts/flyvemdm.example.service
2016-12-16	2016-12-15	btry	scripts/loop-run.sh
2018-02-19	2018-02-15	Thierry Bugier	scripts/mqtt-rebuild-messages.php
2017-11-19	2017-07-05	Thierry Bugier	scripts/mqtt.php
2016-12-17	2016-12-15	btry	scripts/service.example.sh
2017-07-25	2016-12-15	Thierry Bugier Pineau	setup.php
2018-05-06	2018-07-11	Domingo Oropeza	tests/after_success.sh
2018-09-01	2018-08-23	Domingo Oropeza	tests/apidocs.sh
2018-01-10	2017-11-21	Thierry Bugier	tests/bootstrap.php
2019-08-14	2019-08-14	Thierry Bugier	tests/install_fusioninventory.php
2019-08-14	2019-08-14	Thierry Bugier	tests/install_glpi.php
2018-06-20	2018-06-25	Domingo Oropeza	tests/patches/allow-test-on-master-branch.patch
2018-03-15	2018-03-15	Thierry Bugier	tests/patches/fi-fix-obsolete-query.patch
2018-10-10	2018-10-10	Thierry Bugier	tests/patches/fusioninventory/compat-glpi-9-3-2.diff
2018-05-15	2018-04-28	Thierry Bugier	tests/patches/fusioninventory/raise-max-version.patch
2018-01-10	2018-01-10	Thierry Bugier	tests/patches/glpi/10f8dabfc5e20bb5a4e7d4ba4b93706871156a8a.diff
2018-07-22	2018-07-22	Thierry Bugier	tests/plugin_flyvemdm_config_2.0.0-rc.1.sql
2018-07-25	2018-07-22	Thierry Bugier	tests/plugin_flyvemdm_empty_2.0.0-rc.1.sql
2019-08-14	2019-08-14	Thierry Bugier	tests/script-functions.sh
2019-08-14	2019-08-14	Thierry Bugier	tests/script-specific-functions.sh
2018-03-26	2018-03-22	Thierry Bugier	tests/src/Flyvemdm/Tests/ApiRestTestCase.php
2018-10-15	2018-10-08	Domingo Oropeza	tests/src/Flyvemdm/Tests/CallbackReceiver.php
2018-06-07	2018-04-16	Domingo Oropeza	tests/src/Flyvemdm/Tests/CommonTestCase.php
2018-10-13	2018-10-08	Domingo Oropeza	tests/src/Flyvemdm/Tests/DummyMessage.php
2018-10-10	2018-10-08	Domingo Oropeza	tests/src/Flyvemdm/Tests/DummyMessageInterface.php
2018-12-07	2018-12-07	Domingo Oropeza	tests/src/Flyvemdm/Tests/DummyMiddleware.php
2018-03-30	2018-03-22	Thierry Bugier	tests/src/Glpi/Tests/ApiExitException.php
2018-03-24	2018-03-22	Thierry Bugier	tests/src/Glpi/Tests/ApiRestTestCase.php
2018-03-23	2018-03-22	Thierry Bugier	tests/src/Glpi/Tests/CommonDBTestCase.php
2018-04-11	2018-03-22	Thierry Bugier	tests/src/Glpi/Tests/CommonTestCase.php
