DATE(MEAN)	DATE(MODE)	WHO(MODE)	PATH
2000-10-02	2000-07-01	Paul Prescod	Lib/test/xmltestdata/test.xml
2000-10-05	2000-08-01	Andrew M. Kuchling	Lib/curses/has_key.py
2000-10-26	2000-08-15	David Scherer	Lib/idlelib/TODO.txt
2000-11-09	2000-09-24	Lars Gustäbel	Lib/test/xmltestdata/test.xml.out
2000-11-17	1998-08-12	Guido van Rossum	Tools/scripts/rgrep.py
2000-11-23	1998-07-10	Guido van Rossum	Include/classobject.h
2000-11-30	1994-08-01	Guido van Rossum	Lib/profile.py
2000-12-21	1992-02-26	Guido van Rossum	Include/osdefs.h
2000-12-21	2000-08-15	David Scherer	Lib/idlelib/ChangeLog
2000-12-22	2000-12-22	Andrew M. Kuchling	Lib/curses/panel.py
2001-01-07	2000-06-29	Fred Drake	Lib/xml/sax/xmlreader.py
2001-01-22	2000-06-29	Fred Drake	Lib/xml/sax/_exceptions.py
2001-02-01	1998-12-18	Greg Ward	Lib/distutils/version.py
2001-02-03	1998-05-10	Guido van Rossum	Lib/test/sortperf.py
2001-02-20	2006-04-21	Guido van Rossum	Modules/config.c.in
2001-03-10	1994-01-26	Guido van Rossum	Misc/README
2001-03-11	1999-09-21	Greg Ward	Lib/distutils/command/__init__.py
2001-03-15	2000-10-06	Guido van Rossum	Tools/demo/redemo.py
2001-03-22	2000-06-28	Greg Ward	Lib/distutils/bcppcompiler.py
2001-04-20	2000-12-13	Martin v. Löwis	Lib/xml/dom/__init__.py
2001-05-03	1998-06-23	Guido van Rossum	Lib/code.py
2001-05-05	1999-12-20	Guido van Rossum	Python/dynload_stub.c
2001-05-08	1994-09-29	Guido van Rossum	Modules/xxmodule.c
2001-05-09	2000-04-21	Greg Ward	Lib/distutils/fancy_getopt.py
2001-05-23	2001-02-28	Jeremy Hylton	Lib/test/badsyntax_future5.py
2001-05-31	2001-02-28	Jeremy Hylton	Lib/test/badsyntax_future7.py
2001-06-03	2001-02-28	Jeremy Hylton	Lib/test/future_test1.py
2001-06-06	2001-01-10	Marc-André Lemburg	Lib/test/testcodec.py
2001-06-09	2001-02-28	Jeremy Hylton	Lib/test/badsyntax_future3.py
2001-06-09	2001-02-28	Jeremy Hylton	Lib/test/badsyntax_future4.py
2001-06-09	2001-02-28	Jeremy Hylton	Lib/test/badsyntax_future6.py
2001-06-11	2001-12-09	Guido van Rossum	Modules/tkappinit.c
2001-07-11	2000-06-29	Fred Drake	Lib/xml/dom/pulldom.py
2001-07-19	1996-08-23	Guido van Rossum	PC/python_nt.rc
2001-08-01	2001-05-08	Tim Peters	Lib/test/double_const.py
2001-08-05	1997-07-19	Guido van Rossum	Lib/tkinter/messagebox.py
2001-08-05	2001-06-23	Martin v. Löwis	Modules/getnameinfo.c
2001-08-28	2000-04-04	Greg Ward	Lib/distutils/cmd.py
2001-09-04	2001-09-04	Jack Jansen	Mac/Resources/app/PkgInfo
